Year	Albania	Algeria	Andorra	Niger	Palau	Brazil	Peru	Venezuela	Argentina	Oman	Colombia	Mexico
1981	134.0296	134.1296	134.2296	134.0296	134.0296	NA	NA	NA	NA	NA	NA	134.2296
1981.5	134.1459	134.2459	134.3459	134.1459	134.1459	NA	NA	NA	NA	NA	NA	134.3459
1982	134.1868	134.2868	134.3868	134.1868	134.1868	NA	NA	NA	NA	NA	NA	134.3868
1982.5	134.2048	134.3048	134.4048	134.2048	134.2048	NA	NA	NA	NA	NA	NA	134.4048
1983	134.2577	134.3577	134.4577	134.2577	134.2577	132.4	NA	NA	NA	132.5	134.4577	134.4577
1984	134.2506	134.3506	134.4506	134.2506	134.2506	NA	132.4	132.3	132.5	132.6	134.4506	134.4506
1985	134.2931	134.3931	134.4931	134.2931	134.2931	132.5	133	132.4	133	133.1	134.4931	134.4931
1986	134.2701	134.3701	134.4701	134.2701	134.2701	133.1	133.3	133.1	133.3	133.5	134.4701	134.4701
1987	134.2469	134.3469	134.4469	134.2469	134.2469	133.4	133.5	133.4	133.5	133.6	134.4469	134.4469
1988	134.1286	134.2286	134.3286	134.1286	134.1286	133.6	133.8971	133.6	133.8971	133.8	134.3286	134.3286
1989	133.8971	133.9971	134.0971	133.8971	133.8971	133.8971	133.8	133.8971	133.8	133.7	134.0971	134.0971
